url,entityID,
1388.htm,8009379582,
1173.htm,15013727707
0182.htm,18008886100
1697.htm,18665404494
1713.htm,19014528408
1567.htm,2022442044
1565.htm,2026540999
1564.htm,2022328800
0767.htm,2026823123
0769.htm,2027377663
0771.htm,2022372892
0773.htm,2022446600
0770.htm,2022939091
0774.htm,2022999630
1568.htm,2023322207
0765.htm,2023336353
0772.htm,2023381747
0766.htm,2023383830
1566.htm,2023473434
0764.htm,2023937777
0763.htm,2024663474
1563.htm,2025466768
0768.htm,2026294348
1029.htm,2054441515
1822.htm,2057470855
1028.htm,2059423336
1823.htm,2059458007
0068.htm,2052522109
0070.htm,2053226014
1824.htm,2053236980
1030.htm,2053282007
0073.htm,2054141411
0066.htm,2054445750
0064.htm,2055200502
0072.htm,2058224646
0069.htm,2058231217
1026.htm,2058704406
0067.htm,2059429866
1821.htm,2059511205
1818.htm,2059671376
0065.htm,2059785355
1819.htm,2059786863
1820.htm,2059791515
1027.htm,2059808266
0071.htm,2059854696
0063.htm,2059910035
0074.htm,2059955775
0581.htm,2067285181
0580.htm,2066333800
1394.htm,2063231300
0526.htm,2062561499
0583.htm,2062821549
0524.htm,2063208757
0585.htm,2063224600
0589.htm,2063231544
0587.htm,2063284604
1393.htm,2063296463
1391.htm,2064415322
1395.htm,2065281575
0523.htm,2065459050
0527.htm,2066211984
1392.htm,2066228717
1387.htm,2066230629
0522.htm,2066234450
0584.htm,2066241756
0588.htm,2066245500
1389.htm,2066251146
0582.htm,2066320421
1390.htm,2066325125
0520.htm,2066330801
0521.htm,2067281966
1386.htm,2067497000
0525.htm,2067893770
0586.htm,2067895100
1194.htm,2083319855
1190.htm,2083775551
0310.htm,2082468639
0309.htm,2083234445
1195.htm,2083234688
1191.htm,2083311173
1995.htm,2083312384
1994.htm,2083362150
1189.htm,2083362878
0306.htm,2083434177
0307.htm,2083447471
0308.htm,2083450026
0311.htm,2083734968
1193.htm,2083761266
1196.htm,2088536830
1488.htm,2109211112
1478.htm,2102230500
1343.htm,2102233900
1484.htm,2102270864
1341.htm,2102271187
1479.htm,2102272782
1487.htm,2102291941
0693.htm,2102991296
0689.htm,2103427771
0692.htm,2103663012
0696.htm,2105231010
0690.htm,2105450300
1344.htm,2105586500
1490.htm,2106747900
1482.htm,2106845376
1342.htm,2107326017
0691.htm,2107380099
1345.htm,2107982222
1339.htm,2108215051
0688.htm,2108223361
1486.htm,2108227681
1483.htm,2108260800
0694.htm,2108282322
1485.htm,2108283508
1489.htm,2108289050
0695.htm,2108587388
1480.htm,2109465518
1351.htm,2122071902
0001.htm,2125541515
1560.htm,2122286751
1350.htm,2122338888
0537.htm,2122422606
1352.htm,2122554160
0000.htm,2122652610
0535.htm,2122740505
0005.htm,2122880033
0041.htm,2122979177
1347.htm,2124772900
0037.htm,2124890051
0035.htm,2125018121
0530.htm,2125175340
0010.htm,2125755129
0034.htm,2125811818
0534.htm,2126200393
0042.htm,2126204020
1348.htm,2126440202
0533.htm,2126452189
1349.htm,2126748685
1346.htm,2126776300
0044.htm,2126832322
0036.htm,2126918211
0536.htm,2126989008
0531.htm,2127416623
0039.htm,2127573016
0040.htm,2127770303
0008.htm,2129417994
0004.htm,2129473636
0038.htm,2129642525
0528.htm,2129665585
0007.htm,2129721001
0043.htm,2129861520
0009.htm,2129896699
0529.htm,2129959511
0002.htm,2129974540
1361.htm,2136241000
0240.htm,2138910900
1548.htm,2144287427
0752.htm,2148901103
1873.htm,2143752020
1870.htm,2142192201
1544.htm,2143502470
1547.htm,2143520005
1550.htm,2143636655
1878.htm,2143736527
1553.htm,2143737171
1555.htm,2144439998
1554.htm,2145268181
1876.htm,2145281731
1877.htm,2147404001
0758.htm,2147443287
0749.htm,2148210601
1546.htm,2148246200
1872.htm,2148260968
0753.htm,2148267100
0750.htm,2148282916
1429.htm,2153871803
0927.htm,2154131443
1426.htm,2154131918
0932.htm,2154254983
0931.htm,2154631951
1422.htm,2154830444
0934.htm,2155452262
1423.htm,2155455508
0626.htm,2155459600
0933.htm,2155460181
0928.htm,2155643860
1424.htm,2155672020
0627.htm,2155698939
0624.htm,2155920363
0935.htm,2155921163
0629.htm,2157326622
1428.htm,2157550663
0929.htm,2157902533
1427.htm,2158758002
0625.htm,2159223676
1425.htm,2159226433
0623.htm,2159236069
0930.htm,2159258880
0703.htm,2162671010
1496.htm,2162914943
1432.htm,2163711811
1500.htm,2163813341
1491.htm,2163825350
1498.htm,2164290440
1440.htm,2165750699
1492.htm,2165799999
1434.htm,2165839999
1497.htm,2165899112
1493.htm,2165910888
1431.htm,2166213838
1499.htm,2166218686
1435.htm,2166230909
1437.htm,2166231212
0697.htm,2166317757
1439.htm,2166913387
1438.htm,2166965600
1430.htm,2166967529
1494.htm,2167711334
0698.htm,2167817462
1436.htm,2168610900
1433.htm,2168810045
0704.htm,2168899999
0702.htm,2168969081
0700.htm,2169411120
0699.htm,2169610000
0158.htm,2257512888
0152.htm,2252726817
1883.htm,2252912424
1884.htm,2252913503
1080.htm,2252918881
1079.htm,2252934077
1083.htm,2252936480
1082.htm,2253836666
1880.htm,2253875331
0154.htm,2257529377
0157.htm,2257614465
1882.htm,2257660366
1081.htm,2257677571
0155.htm,2257698896
1886.htm,2258198438
1885.htm,2258199862
0153.htm,2259241391
1881.htm,2259243550
1879.htm,2259272535
0156.htm,2259282702
1968.htm,2393318944
1973.htm,2395974800
1969.htm,2397756480
1970.htm,2392610977
0260.htm,2392621127
0258.htm,2392626546
1965.htm,2392628339
1966.htm,2393539440
1972.htm,2394037861
1150.htm,2394346116
1153.htm,2394346400
0267.htm,2394346653
1964.htm,2394348494
0264.htm,2394359796
1151.htm,2395663354
0265.htm,2395667395
1154.htm,2395965515
0259.htm,2395983300
0263.htm,2396432201
1156.htm,2396495552
1155.htm,2396592996
0262.htm,2396929441
0261.htm,2397752500
1152.htm,2397753388
1971.htm,2397754424
0440.htm,2513400408
0442.htm,2513416171
1296.htm,2513424588
1292.htm,2513436622
0444.htm,2514317550
0436.htm,2514711465
0443.htm,2514731527
0439.htm,2514739464
0441.htm,2514763847
1295.htm,2514787427
1293.htm,2514797778
1294.htm,2516338200
0437.htm,2516339077
0445.htm,2516615100
1421.htm,2672325600
0628.htm,2676393260
0429.htm,2814967580
1385.htm,2818700807
0896.htm,2990001
1466.htm,3034809100
1333.htm,3032826258
1332.htm,3032922229
1212.htm,3032960800
1334.htm,3032963525
1215.htm,3032967000
1217.htm,3033212370
0401.htm,3033377827
0400.htm,3033681668
0673.htm,3033931040
0678.htm,3033943939
1469.htm,3034332138
1470.htm,3034337400
0509.htm,3034400220
1319.htm,3034400810
1326.htm,3034405858
0506.htm,3034409600
0494.htm,3034420378
0496.htm,3034425012
0503.htm,3034428162
0508.htm,3034428813
0501.htm,3034435108
1321.htm,3034436300
0505.htm,3034443133
0495.htm,3034445119
0504.htm,3034445533
0498.htm,3034448434
1320.htm,3034473354
1322.htm,3034479718
0500.htm,3034491752
1328.htm,3034494111
1327.htm,3034494473
1329.htm,3034495273
1468.htm,3034585248
1471.htm,3034774600
1331.htm,3034944210
0497.htm,3034947626
1214.htm,3035341927
1336.htm,3035392500
1325.htm,3035456585
0675.htm,3035759000
